1,BOSTONMA,Boston,MA,42.21,-71.05,02135,4930956
2,MIAMIFL,Miami,FL,25.92,-80.28,33124,4164138
3,NEWYORKNY,New York,NY,40.47,-73.58,10001,5128581
4,COLUMBUSOH,Columbus,OH,40,-83.01,43201,4509177
5,DETROITMI,Detroit,MI,42.2,-83.03,48201,4990729
6,CHICAGOIL,Chicago,IL,41.5,-87.37,60601,4887398
7,LOSANGELESCA,Los Angeles,CA,34.03,-118.15,90001,5368381
8,MINNEAPOLISMN,Minneapolis,MN,44.59,-93.14,55401,5037649
